Site Name,Country/Region,Receiver,Antenna,Radome,Satellite_System,Latitude,Longitude,Height (m),X (m),Y (m),Z (m),Calibration,Networks,Data_Center,IERS DOMES,Clock,Agencies,Last_Data
ABMF00GLP,GP,SEPT POLARX5,TRM57971.00,NONE,GPS+GLO+GAL+BDS+SBAS,16.26230556,-61.52753056,-25,2919786,-5383745,1774604,ROBOT,IGS14 Core / IGS20 / IGS14 / IGS / IGS Multi-GNSS / RTS,IGN,97103M001,INTERNAL,Institut National de l'Information Geographique et,2
ABPO00MDG,MG,SEPT POLARX5,ASH701945G_M,SCIT,GPS+GLO+GAL+BDS+QZSS,-19.01830603,47.22921169,1552.9923,4097216.681,4429119.029,-2065771.368,FIELD,IGS14 Core / IGS20 / IGS14 / IGS / RTS / IGS Multi-GNSS,JPL,33302M001,INTERNAL,Jet Propulsion Laboratory,2
AC2300USA,US,SEPT POLARX5,TRM59800.99,SCIT,GPS+GLO+GAL+BDS+QZSS,60.47509444,-150.8779278,80.301,-2752834.742,-1533597.398,5526823.255,ROBOT,RTS / IGS / IGS Multi-GNSS,CDDIS,49296M001,INTERNAL,UNAVCO,2
AC2400USA,US,SEPT POLARX5,TRM159800.00,SCIT,GPS+GLO+GAL+BDS+QZSS,58.68157222,-156.6527556,36.4,-3051338.757,-1317097.822,5425614.219,ROBOT,RTS / IGS / IGS Multi-GNSS,CDDIS,49239M001,INTERNAL,UNAVCO,2
ACRG00GHA,GH,JAVAD TRE_3S,SEPCHOKE_B3E6,NONE,GPS+GLO+GAL+BDS+IRNSS+SBAS,5.641472222,-0.207111111,83.4,6347491.377,-22944.8986,622822.4766,ROBOT,IGS / IGS Multi-GNSS / RTS,CDDIS,32904M001,INTERNAL,GeoForschungsZentrum,2
ACSO00USA,US,SEPT POLARX5,TRM59800.80,SCIT,GPS+GLO+GAL+BDS,40.23235278,-82.981525,249.387,595828.9368,-4839735.32,4097876.722,COPIED,RTS / IGS / IGS Multi-GNSS,CDDIS,49297M001,INTERNAL,UNAVCO,2
ADIS00ETH,ET,LEICA GR50,LEIAR20,LEIM,GPS+GLO+GAL+BDS+SBAS,9.035135728,38.76630398,2439.149,4913652.761,3945922.67,995383.3331,ROBOT,IGS20 / IGS14 / IGS Multi-GNSS / RTS / IGS,IGN,31502M001,,Addis Ababa University,2
AGGO00ARG,AR,SEPT POLARX5TR,LEIAR25.R4,LEIT,GPS+GLO+GAL+BDS+SBAS,-34.87370833,-58.13986111,42.085,2765120.9,-4449250.25,-3626405.6,ROBOT,IGS / IGS Multi-GNSS / RTS,BKG,41596M001,EXTERNAL CESIUM 1,Bundesamt fuer Kartographie und Geodaesie+ Argentinean-German Geodetic Observatory,2
AIRA00JPN,JP,TRIMBLE ALLOY,TRM59800.00,SCIS,GPS+GLO+GAL+QZSS,31.82406111,130.5995917,314.64,-3530185.489,4118797.337,3344036.931,ROBOT,IGS08 / IGS20 / IGS / IGS Multi-GNSS / RTS,CDDIS,21742S001,INTERNAL,Geospatial Information Authority of Japan,2
AJAC00FRA,FR,LEICA GR50,TRM115000.00,NONE,GPS+GLO+GAL+BDS+QZSS+SBAS,41.92745,8.762608333,98.8,4696990,723994,4239678,ROBOT,IGS20 / IGS14 / IGS / RTS / IGS Multi-GNSS,BKG,10077M005,INTERNAL,Institut National de l'Information Geographique et,2
ALBH00CAN,CA,SEPT POLARX5,TRM59800.00,SCIS,GPS+GLO+GAL,48.3898,-123.4874,32,-2341332.884,-3539049.509,4745791.36,ROBOT,IGS14 Core / IGS08 / IGS20 / IGS14 / IGS / RTS / IGS Multi-GNSS,PGC,40129M003,EXTERNAL H-MASER,Geological Survey of Canada,2
ALGO00CAN,CA,SEPT POLARX5,AOAD/M_T,NONE,GPS+GLO+GAL,45.9588,-78.0714,202,918129.4,-4346071.2,4561977.8,ROBOT,IGS08 / IGS20 / IGS14 / IGS / RTS / IGS Multi-GNSS,CDDIS,40104M002,INTERNAL,Natural Resources Canada,2
ALIC00AUS,AU,SEPT POLARX5,LEIAR25.R3,NONE,GPS+GLO+GAL+BDS+QZSS,-23.67011111,133.8855222,603.2,-4052052.735,4212835.983,-2545104.585,ROBOT,IGS08 Core / IGS14 Core / IGS08 / IGS20 / IGS14 / IGS / RTS / IGS Multi-GNSS,GA,50137M001,INTERNAL,Geoscience Australia,2
ALRT00CAN,CA,ASHTECH UZ-12,ASH701945D_M,NONE,GPS,82.49429444,-62.34046111,78.11,388042.75,-740382.4,6302001.85,ROBOT,IGS08 / IGS20 / IGS14 / IGS,CDDIS,40162M001,INTERNAL,NRCan+ Geodetic Survey Division,
AMC400USA,US,SEPT POLARX5TR,TPSCR.G5C,NONE,GPS+GLO+GAL+BDS,38.803125,-104.5245972,1911.3941,-1248596.405,-4819428.21,3976505.93,ROBOT,IGS / IGS Multi-GNSS,JPL,40472S005,EXTERNAL H-MASER,U.S. Naval Observatory+ Jet Propulsion Laboratory,2
ANK200TUR,Turkey,TRIMBLE NETR9,TRM115000.00,NONE,GPS+GLO+GAL+BDS,39.84279722,32.77534722,1294.3,4124040.177,2655251.841,4065428.467,ROBOT,IGS / IGS Multi-GNSS,IGN,20818M001,INTERNAL,General Command of Mapping Turkey,2
ANMG00MYS,MY,TRIMBLE NETR9,JAVRINGANT_DM,SCIS,GPS+GLO+GAL+BDS+QZSS,2.784648333,101.5066022,15.002,-1270826.87,6242631.446,307792.439,ROBOT,IGS / IGS Multi-GNSS,JAXA,22720M001,INTERNAL,Japan Aerospace Exploration Agency,2
ANTC00CHL,CL,SEPT POLARX5,ASH700936D_M,SNOW,GPS+GLO+GAL,-37.33870278,-71.53205,745.4,1608539,-4816370,-3847799,ROBOT,IGS08 / IGS20 / IGS,SIO,41713S001,INTERNAL,National Seismological Center of the U. of Chile,27
ANTF00CHL,CL,STONEX SC2200,STXSA1500,STXG,GPS+GLO+GAL+BDS+SBAS,-23.70153056,-70.42007778,68.4,1958240.723,-5505483.304,-2548076.547,ROBOT,IGS / RTS / IGS Multi-GNSS,CDDIS,41780M001,INTERNAL,Universidad de Santiago de Chile,2
AREG00PER,PE,SEPT POLARX5,TRM59800.00,NONE,GPS+GLO+GAL+BDS+SBAS,-16.46542332,-71.49290414,2489.337,1942816.365,-5804077.14,-1796884.438,ROBOT,IGS Multi-GNSS / IGS / RTS,IGN,42202M008,EXTERNAL RUBIDIUM,Centre National d'Etudes Spatiales,2
AREQ00PER,PE,SEPT POLARX5,JAVRINGANT_DM,NONE,GPS+GLO+GAL+BDS,-16.465517,-71.49279667,2488.9226,1942826.192,-5804070.331,-1796894.267,ROBOT,IGS14 Core / IGS20 / IGS14 / IGS / IGS Multi-GNSS,JPL,42202M005,EXTERNAL QUARTZ,Jet Propulsion Laboratory,2
ARHT00ATA,AQ,JAVAD TRE_3 DELTA,JAVRINGANT_DM,SCIS,GPS+GLO+GAL+BDS+QZSS+IRNSS,-77.82943611,166.6636528,135.328,-1312626.536,311171.129,-6213081.915,ROBOT,IGS / IGS Multi-GNSS / RTS,JPL,66001M005,INTERNAL,Jet Propulsion Laboratory,2
ARTU00RUS,Russian Federation,JAVAD TRE_G3TH DELTA,ASH700936D_M,DOME,GPS+GLO,56.42982222,58.56045278,247.511,1843956.968,3016202.97,5291261.66,,IGS08 Core / IGS14 Core / IGS08 / IGS20 / IGS14 / IGS,CDDIS,12362M001,INTERNAL,RDAAC,
ARUC00ARM,AM,SEPT POLARX5,ASH701945C_M,SCIS,GPS+GLO+GAL+BDS+QZSS,40.28572222,44.08558333,1222,3500416.782,3390432.684,4103027.585,ROBOT,IGS20 / IGS / IGS Multi-GNSS / RTS,JPL,12312M002,INTERNAL,Jet Propulsion Laboratory,2
ASCG00SHN,SH,TRIMBLE ALLOY,TRM59800.00,NONE,GPS+GLO+GAL+BDS+SBAS,-7.916280556,-14.33266389,38,6121151.578,-1563978.904,-872615.417,ROBOT,IGS20 / IGS / IGS Multi-GNSS / RTS,IGN,30602M004,INTERNAL,Centre National d'Etudes Spatiales,2
ASPA00USA,US,SEPT POLARX5,TRM55971.00,NONE,GPS+GLO+GAL,-14.32609444,-170.7224333,53.7,-6100260.096,-996503.51,-1567977.812,ROBOT,IGS08 Core / IGS08 / IGS20 / IGS,https://geodesy.noaa.gov/corsdata/,50503S006,INTERNAL,National Geodetic Survey,2
AUCK00NZL,NZ,TRIMBLE ALLOY,TRM115000.00,NONE,GPS+GLO+GAL+BDS+QZSS,-36.6028,174.8344,132.711,-5105681,461564,-3782181.7,ROBOT,IGS08 Core / IGS14 Core / IGS08 / IGS / IGS20 / IGS14 / RTS / IGS Multi-GNSS,CDDIS,50209M001,INTERNAL,GNS Science,2
BADG00RUS,RU,JAVAD TRE_3 DELTA,JAVRINGANT_DM,JVDM,GPS+GLO+GAL,51.76970556,102.2349806,811.4,-838281.513,3865777.334,4987624.632,ROBOT,IGS14 Core / IGS / IGS20 / IGS14 / IGS Multi-GNSS,SIO,12338M002,EXTERNAL H-MASER CH1-80,Institute of Applied Astronomy RAS,2
BAIE00CAN,CA,TPS NET-G5,TPSCR.G3,NONE,GPS+GLO,49.186825,-68.26332778,27.5,1546823.34,-3879765.13,4804185.05,ROBOT,IGS / IGS20 / RTS,CDDIS,40151M001,INTERNAL,Natural Resources Canada,2
BAKE00CAN,CA,TPS NET-G3A,TPSCR.G3,NONE,GPS+GLO,64.31781944,-96.00234444,4.4,-289833.93,-2756501.06,5725162.22,ROBOT,IGS08 / IGS / IGS20 / RTS,CDDIS,40152M001,INTERNAL,Natural Resources Canada,2
